School Name,Address,Website,City,Category,Gender,Principal,Founded,Affiliation,Web Url,Fees,Revenue,Mobile/Contact Number,Principal/Heigher Mgm. Emails,Emails,Other Higher Mgm. Email,Other Email,Other Email.1,Contact number,Contact number.1,Contact number.2,Merged_Unnamed,,,
Department Of Vocational Studies Guru Nanak College,"Girls Wing, Guru Nanak College Campus, Matkuria Colony Rd, Bank More, Dhanbad, Jharkhand 826001",http://www.gncollege.org/,,School,,Prof. P. Shekher,1970,BINOD BIHARI MAHTO KOYLANCHAL UNIVERSITY,,,,0326 230 5070,jo.msc@gmail.com,sanjay.bsc@gmail.com,principal@gncollege.org,sanjayprasadgnc@gmail.com,anjanalaldas@gmail.com,91 - 9431188813,91 - 9431315655,91 - 9431191359,,,,
Desouza's School,"Hill Road, Sector 2, Rourkela, Odisha 769006",http://www.desouzaschool.org/,Odisha,ICSE School,,Mr.Alexander Desouza,1958,,,2.5 crore,,0661 260 0883,dr.dhari@gmail.com,pawan.msc@gmail.com,desouza.school@gmail.com,rkl-desouza@sancharnet.in,,9439209181,,,,,,
Dhamma Dipa School,"Manu Bankul, Sabroom, Tripura 799145",http://www.ddstripura.org/,Tripura,Board School,,,,,,8 crore,,098624 28976,,,sibufrom1984@gmail.com,info@dipa.dhamma.org,dr_dhammapiya@yahoo.com,+91-9612727388,+91-9436189888,9612727388,"9540742220, 918131848845, 9436292084, 8731944477, +91-8731030522, 918737944477",,,
Dhanraj Baid Jain College,"Old Mahabalipuram Rd, Jyothi Nagar, Okkiyum, Oggiyamduraipakkam, Tamil Nadu 600097",http://dbjaincollege.org/,Chennai,ICSE School,,Dr. Pankaja.R.P,1972,,,,,044 2496 0889,george.phd@rediff.com,dr.bhangale@gmail.com,dbjainmca@yahoo.com,placement@dbjaincollege.org,,7200071798,7200071797,,,,,
District Educational Office,"Government Boys Higher Secondary School Campus, Mohanur - Namakkal Rd, Thillaipuram, Periyapatti, Tamil Nadu 637001",http://tn.gov.in/,Tamil Nadu,Schools,,,,,,9 lakh,,04286 232 094,dr.das@gmail.com,,ceo.pauri.dir@gmail.com,aeovak.dge@kerala.gov.in,aeoatl.dge@kerala.gov.in,9414002891,9414483385,9414803294,"9023316714, 9810540751, preschool.dw@mountcarmeldelhi.com, ilc@mountcarmeldelhi.com",,,
Don Bosco College Maram,"NH2, Manipur 795015",http://www.dbcmaram.ac.in/,Manipur,"Private School, CBSE School",,Fr.Dr. K.O Sebastian,,,,"5 crore, 3 crore",,094360 31127,"chandra.msc@gmail.com, malsawmdawngik@gmail.com","dr.rajshri@gmail.com, anuradha13@gmail.com",dbcmaram@gmail.com,principal@dbcmaram.org,,9436031127,9436031125,9436031127,,,,
"Don Bosco High & Technical School, Liluah","109, Abhay Guha Road, Liluah, Howrah, West Bengal 711204",http://donboscoliluah.org/,,School,,Fr. K. V. Mathew,8 December 1937,Council for the Indian School Certificate Examinations (CISCE),,,,033 2655 1075,fatherchritopher@rediff.com,yadwinder1@gmail.com,office@donboscoliluah.org,rector@donboscoliluah.org,principal@donboscoliluah.org,dbltech@vsnl.com,dbltech44@gmail.com,parish@donboscoliluah.org,,,,
"Don Bosco Higher Secondary School, Panjim","Don Bosco Campus, Panaji, Goa 403001",http://dbhsspanjim.com/,Goa,Schools,,,,,,9 lakh,,0832 242 0463,l1968@gmail.com,,schooloffice@dbhsspanjim.edu.in,principal@dbhsspanjim.edu.in,,7620299209,8322421929,8322221986,,,,
Don Bosco Mat. Hr. Sec. School,"13, CASA Major Rd, Egmore, Chennai, Tamil Nadu 600008",http://www.dbegmore.com/,Chennai,Schools,Co-ED,Fr.Gerald Miranda,1958,,,5 lakh,,"9385201310, 044 2819 1274",mirandafrgerald@gmail.com,bhagirathshri@gmail.com,dbschool@dbegmore.com,,,9385201310,,,,,,
Don Bosco School,"109, Abhay Guha Rd, Liluah, Howrah, West Bengal 711204",http://donboscoliluah.org/,"West Bengal, Serampore ","School, Private School, ICSE School, English Medium School",,Fr. K. V. Mathew,8 December 1937,,,"4 crore, 2.5 crore",,033 2655 1075,"dr.sayed@hotmail.com, joseph16@yahoo.com, smtmilan@gmail.com","parwani13@gmail.com, dr.manjiri@gmail.com, nayana.msc@gmail.com","office@donboscoliluah.org, registrar@mygyanvihar.com","rector@donboscoliluah.org, admissions@mygyanvihar.com","principal@donboscoliluah.org, admission@sgvu.edu.in","dbltech@vsnl.com, 9799043000","dbltech44@gmail.com, 9784896522","parish@donboscoliluah.org, 9413345444","8726044012, 9889705792, 9793140022, 7233809120, 8756995171, 8756995172, 8756995174",,,
Don Bosco School,"23, Darga Rd, Park Circus, Beniapukur, Kolkata, West Bengal 700017",http://www.donboscoparkcircus.org/,West Bengal,"School, Private School, ICSE School",,Father Bikash Mondol,,,,"2.5 crore, 4384 crore, 1/2 crore",,033 2287 9202,"neetu.msc@gmail.com, kunal1986@hotmail.com, michael5@hotmail.com","phd.sachin@gmail.com, prabharathod@gmail.com, pro.siddhu@gmail.com",principal@donboscoschool.in,inndbph@del2.vsnl.net.in,dbemsmon@yahoo.co.in,8389980309,,,"admission.naini@jaipuria.school, info.naini@jaipuria.school, rana.manju@yahoo.co.in, gzb.jaipuria54205@gmail.com, enquiry.stg@jaipuria.school, rana.manju@yahoo",,,
Don Bosco School,"Avinash, Abinash Chandra Mukherjee Rd, Sahaganj, Bandel, West Bengal 712103",http://dbbandel.org/,West Bengal,School,,,,,,2.5 crore,,033 2631 2437,,,principal@donboscoschool.in,dbkolkata@gmail.com,office@donboscomatunga-com.mydnscp.com,9311227858,9472868349,8986461087,+91-9497589058,,,
"Don Bosco School, Guwahati.","Pan Bazaar 1/2 km from Railway Station, Guwahati, Assam 781001",http://donboscoguwahati.net/,Assam,"IB school, International School",,,February 1948,,,"5 crore, 3 crore",,0361 254 0583,,,principaldbs@yahoo.co.in,dbmaligaon@gmail.com,j-doe@donboscoguwahati.net,9435044456,7002719439,9436114435,,,,
Doon Business School,"Mi-122, Behind Pharma City, Selaqui Industrial Area, Dehradun, Uttarakhand 248001",http://www.doonbusinessschool.com/,"Tripura, Arunachal Pradesh",Doon school,,,,,,"10 crore, 11 lakh",,0135 269 9166,manojdr@gmail.com,,info@doonbusinessschool.com,"hr@doonbusinessschool.com, conference@doonbusinesssschool.com","placements@.com, xxxxssions@doonbusinessschool","xxxxssions@doonbusinessschool, 7259162060","info@dbs.org.in, 9511561529","admissions@doonbusinessschool.com, 8171228575","9389770050, 8081723300, 9956775920, 9535386709, y.heritage@hischool.ca, info@heritage.edu.my, info@ggn.hxls.org",,,
Doon Heritage School,"Kolabari Rd, Champasari, Siliguri, West Bengal 734003",http://www.doonheritageschool.co.in/,Sikkim,International School,,,,,,5 crore,,085970 75889,,,doonheritageschool@gmail.com,contact@doonheritageschool.com,meennusoti@gmailc.com,9027428412,8477858270,9837045304,8828912891,,,
Doon International School,"4 kms from Towards Pertroleum University, Nanda Ki Chowki, Paundha, Dehradun, Uttarakhand 248007",http://disriverside.com/,"Uttarakhand, Arunachal Pradesh","Private School, Doon school",,,,,,"1/2 crore, 9 lakh",,096275 98500,rev1987@rediff.com,,"admissions@dischandigarh.com, hm.secy@doonschool.com","dooninternationalplk@gmail.com, contact@disdehradun.com","info@doonamritsar.com, info@doonpublicschool.in","9875944104, +91-7906523070","9415147648, 9821286692",8004923542,"8800550099, +91-7017941785, +91-7455941785",,,
Doon Public School,"Chamari Khera, Uttar Pradesh 247662",http://doonpublicschoolweb.com/,Uttar Pradesh,Doon school,,,,,,11 lakh,,084750 58888,kataria.phd@gmail.com,,doonpublic_school@yahoo.co.in,info@doonpublicschool.in,hm.secy@doonschool.com,9821286692,+91-7906523070,7466002949,,,,
Doon Public School,"Kalwari, Uttar Pradesh 204101",http://www.doonpublicschoolhathras.in/contact.php,"Uttar Pradesh, Arunachal Pradesh",Doon school,,,,,,"10 lakh, 8 lakh",,097603 03645,"madan1984@rediff.com, maini2@yahoo.com",,"doonpublic_school@yahoo.co.in, info@doonpublicschool.edu.in",info@doonpublicschool.in,"hm.secy@doonschool.com, dps_hld@rediffmail.com","9821286692, 7419115511","+91-7906523070, 7419116611","7466002949, 9821286692",,,,
Doon Public School,"Sector 21 Rd, Sector 21, Budanpur, Panchkula, Haryana 134112",http://doonpublicschoolpkl.com/,"Haryana, Arunachal Pradesh",Doon school,,,,,,"10 lakh, 9 lakh",,096464 12833,"francis.bsc@gmail.com, riyazahmad@gmail.com",,doonpublic_school@yahoo.co.in,info@doonpublicschool.in,"contact@disdehradun.com, hm.secy@doonschool.com",9821286692,+91-7906523070,7466002949,,,,
Doon Public School,"Sector 21, Budanpur, Panchkula, Haryana 134112",http://doonpublicschoolpkl.com/,"Haryana, Arunachal Pradesh",Doon school,,,,,,"5 lakh, 11 lakh",,0172 257 0897,"shekher1966@gmail.com, dr.manoj@gmail.com",,doonpublic_school@yahoo.co.in,info@doonpublicschool.in,hm.secy@doonschool.com,9821286692,+91-7906523070,7466002949,,,,
Doon Public Senior Secondary School,"Green Park Colony, Near Rampur, Chungi, Roorkee, Uttarakhand 247667",http://www.doonschoolrke.com/,Arunachal Pradesh,Doon school,,,,,,12 lakh,,081269 77333,kumar.bsc@rediff.com,,hm.secy@doonschool.com,info@doonpublicschool.in,doonpublic_school@yahoo.co.in,+91-7906523070,7466002949,info@disdehradun.com,,,,
Doon Valley Public School,"Pinjore - Swarghat Rd, Nalagarh, Himachal Pradesh 174101",http://www.dvpsnalagarh.com/,Arunachal Pradesh,Doon school,,,,,,12 lakh,,01795 221 388,v1988@gmail.com,,dvps@dvpsnalagarh.com,info@doonvalleypublic,dvpsjohri@gmail.com,+91-7650054088,9412346699,,,,,
Dps-Itanagar,"Jully Basti Rd, Cona County, Itanagar, Arunachal Pradesh 791111",http://www.dpsitanagar.com/,Arunachal Pradesh,Board School,,,,,,9 lakh,,082570 18137,er.mankotia@gmail.com,,dpsitanagar@gmail.com,dpsitanagar@rediffmail.com,,918257018137,9612116141,9615983121,,,,
Dr. Graham's Homes,"Topkhana, Kalimpong, West Bengal 734316",http://www.drgrahamshomes.net/,"West Bengal, Sikkim","School, Kids School, ICSE School",,Neil C Monteiro,1900,,,"4364 crore, 4 crore, 2 crore",,03552 274 632,"singhvibha@rediff.com, dr.mehta@gmail.com, sujatha.bsc@gmail.com, dr.rajeshwari@gmail.com, pskalra@rediff.com","geetanjalipawar@gmail.com, aditirai@gmail.com, hanmantbhosale@gmail.com, gurumoorthy.bsc@gmail.com, rekhasmt@gmail.com",headmaster.dgh@gmail.com,homesprincipal@gmail.com,bursar.dgh@gmail.com,+91 -8900238554,+91 -9434308822,+91-9933999270,,,,
"Dyal Singh College, Delhi","Lodhi Rd, Pragati Vihar, New Delhi, Delhi 110003",http://dsc.du.ac.in/,,School,,Anita Goel,1959,,,,,011 2436 7819,dr1973@gmail.com,meenakshi.bsc@gmail.com,dyalsingheveningcollege@yahoo.in,rameshks.ao@dsc.du.ac.in,virendersingh@dsc.du.ac.in,deepakmalhotra@dsec.in,dscollege_knl@rediffmail.com,dsckarnal@gmail.com,,,,
EXCELLIA SCHOOL | CBSE School In Lucknow,"Inside Omaxe City, Opp Ambedakar University, Raebareli Road, Lucknow, Uttar Pradesh 226025",http://www.excelliaschool.com/,Uttar Pradesh,CBSE School,,,,,,4 crore,,084002 21000,,,mail@excelliaschool.in,mail@excellia.in,mail@excelliaschool.edu.in,8543819929,+91-8400221000,8400221000,makarba.kprs@kalorex.org,,,
Edify International School,"Opp to EMS Hospotal, Panambi PO , Perinthalmanna,, Malappuram, Kerala 679322",http://www.edifyschools.com/,Kerala,International School,,,,,,9 lakh,,095269 00400,parul13@gmail.com,,info@edify.in,principal@edifyschoolchhatarpur.com,principal@ewsattapur.com,principal@edifyschooldehradun.com,principal@ewsfirozabad.com,principal@edifygudiyattam.com,,,,
Edify World School,"Balapur, RCI Rd, beside Balaji Township, Hyderabad, Telangana 500005",http://www.edifyworldschoolbalapur.com/,Telangana,"Kids School, Board School",,,,,,"10 crore, 12 crore",,092480 22221,,,principal@ewsattapur.com,principal@ewsfirozabad.com,principal@ewsbalapur.com,"9100065704, 7055511140","7055511140, 9100065704",9422239735,"8873002603, 7257001500, 7257001501",,,
Elpro International School,"Shridhar Nagar Road, Pimpri-Chinchwad Link Rd, Pune, Maharashtra 411033",http://www.elproschools.edu.in/,"Peddapalli, Maharashtra","International School, Play School, CBSE School",,Dr. Amrita Vohra,2011,,,"2.5 crore, 1/2 crore, 2 crore",,020 6733 3500,"awasthi6@hotmail.com, er.vanita@gmail.com, varadarajan.phd@gmail.com, anthony14@gmail.com","gulhane18@gmail.com, bhaskar.bsc@gmail.com, pro.priya@gmail.com, phd.jyoti@gmail.com",reception@elproschools.edu.in,admissions@elproschools.edu.in,principal.chinchwad@globalindiansch,8069020202,+91-7506334508,,,,,
Entab Infotech Pvt. Ltd.-CampusCare®,"B-227, Pocket B, Okhla I, Okhla Industrial Area, New Delhi, Delhi 110020",https://www.entab.in/,Goa,Boarding school,,,,,,5 lakh,,011 4319 3333,kb1969@gmail.com,,info@entab.in,hr@entab.in,parentdesk@entab.in,admin@entab.in,pr@entab.in,,,,,
Enviroskills Academy ESA,"1st Floor Panjim Convention Center, Mala, Panaji, Goa 403002",http://www.esacademy.org.in/,Goa,International School,,,,,,12 lakh,,070320 83666,ahmadkafeel@gmail.com,,sumit@esacademy.org.in,sukainah.fatima@esacademy.org.in,sumit.roy.r@gmail.com,8638380824,+91- 7032083666,9369445567,,,,
Equitas Gurukul Matric School,"Tiruchirappalli, Tamil Nadu 621703",https://www.equitasgurukul.org/,Tamil Nadu,Schools,,,,,,9 lakh,,,shivdr@gmail.com,,admin-coimbatore@equitasgurukul.org,admin-salem@equitasgurukul.org,admin-cuddalore@equitasgurukul.org,info@equitasgurukul.org,admin-karur@equitasgurukul.org,dindigul@equitasgurukul.org,"9744003772, 9041021081, 9816127890",,,
EuroKids Itanagar,"Near Civil Secretariat, Opp. B B Plaza, Itanagar, Arunachal Pradesh, 791111",http://www.eurokidsindia.com/,Arunachal Pradesh,Private Schoos,,,,,,12 lakh,,094360 50057,sukhwant.bsc@gmail.com,,27@eurokidsindia.com,gyanitanagar@gmail.com,,9774050057,7896904825,8014542905,,,,
Everwin Vidhyashram,"M9, Sundaram Nagar, Meenakshi Nagar, Balakumaran Nagar, Kolathur, Chennai, Tamil Nadu 600099",http://www.everwinschool.com/,Tamil Nadu,Schools,,,,,,9 lakh,,044 2556 4400,er.singh@yahoo.com,,cbse@everwinschool.net,admin@everwinschool.net,eps@everwinschool.net,evmathur@everwinschool.net,perambur@everwinschool.net,,8894109764,,,
Excelsior American School,"Golf Course Road, behind Dell building, DLF Phase 1, Sector 43, Gurugram, Haryana 122001",http://www.excelsioreducation.org/,Haryana,International School,,,,,,5 lakh,,093110 91645,cherian.phd@gmail.com,,admission@excelsioreducation.org,info@excelsioreducation.org,axxxxxx@excelsioreducation.org,7827912377,+91-7827912377,+91-8750062266,,,,
Faculty Higher Secondary School,"FACULTY HIGHER SECONDARY SCHOOL. NORTH GUWAHATI, P.O - I I T GUWAHTI, Assam 781039",https://facultyschool.org/,"Meghalaya, Assam","CBSE School, Private School, ICSE School, IB school, International School",,Jugal Ch. Bora (JCB),,,,"5 crore, 4 crore, 1/2 crore, 2 crore, 3 crore",,092070 46128,"surendra@rediff.com, dsavdeykarravindranath@hotmail.com, amandeepsandhu@rediff.com, dr.newar@gmail.com, sanjaykumar@gmail.com, chjugal@gmail.com","msc.madhuri@gmail.com, kumarram@gmail.com, msc.prasad@gmail.com, jitendra2@gmail.com, principal.chandra@gmail.com, swaroopram@gmail.com",principal@facultyschool.org,faculty@facultyschool.org,,9207046133,9707011967,9207046128,,,,
Fergusson College,"Fergusson College Rd, Shivajinagar, Pune, Maharashtra 411004",http://www.fergusson.edu/,,School,,Dr. Ravindrasinh G. Pardeshi,1885,Savitribai Phule Pune University,,,,020 6765 6000,dsouza1@rediff.com,principal.khan@gmail.com,nmkulkarni123@yahoo.com,principal@fergusson.edu,spkhedkar@fergusson.edu,last@fergusson.edu,bmpune1019@centralbank.co.in,,,,,
Foster kids play School,"A-1752 Gate no 5 Greenfield Colony Block A, Sector 43, Faridabad, Haryana 121003",http://www.fosterkids.in/,Haryana,Kids School,,,,,,8 lakh,,099108 78790,dranju@gmail.com,,nfc@fosterschools.in,mandoli@fosterschools.in,fosterkidsayannagar@gmail.com,9111475799,9111274277,919990297636,,,,
Fountainhead School,"Opp. Ambetha Water Tank, Kunkni Gam, Rander-Dandi Road, Olpad, Surat, Gujarat 395005",http://www.fountainheadschools.org/,Gujarat,Board School,,,,,,12 lakh,,080001 30031,johnson19@gmail.com,,surat@fountainheadschools.org,sysad@fountainheadschools.org,urat@fountainheadschools.org,8000130031,p.bharat.shah@fountainheadschools.org,last@fountainheadschools.org,,,,
G.D. Goenka International School,"Bahalgarh, Karnal - Meerut Rd, Khewra, Haryana 131001",http://gdgoenkasonepat.com/,Haryana,Schools,,,,,,8 lakh,,099103 44700,rajeshwari.msc@yahoo.com,,info@gdgoenkarohtak.com,apply@gdgoenka.com,info@gdgoenkainternational.com,9315931883,8810667445,9560746630,,,,
G.D.Goenka International School,"Wisdom Valley campus Canal Road, Bharthana Road, New City Light, Surat, Gujarat 395007",http://www.gdgoenkasurat.com/,Gujarat,International School,,,,,,12 lakh,,0261 297 6000,mittra9@hotmail.com,,apply@gdgoenka.com,info@gdgoenkainternational.com,info@gdgoenkarohtak.com,+91-9871600045,8810667445,9560746630,,,,
"G.D.Goenka International School, Rohtak","Faridabad - Gurgaon Rd, Baliawas, Gurugram, Haryana 122003",https://www.pathways.in/gurgaon,Haryana,International School,,,,,,8 lakh,,0124 487 2000,meenakshi9@hotmail.com,,admissions.aravali@pathways.in,school.aravali@pathways.in,admissions.gurgaon@pathways.in,9599002060,9717755998,9717781555,,,,
GD Goenka Public School,"India Bank Bhagwan Mahaveer Road, opposite South, Pocket 8, Sector B, Vasant Kunj, New Delhi, Delhi 110070",http://www.gdgoenka.com/,"Sonipat, Sirsa, Shamli, Rajasthan, Peddapalli, Palwal, Mewat, Jind, Hisar, Haryana, Hapur, Gurgaon, Faridabad, Delhi, Bhiwani, Ayodhya Cantt, Allahabad , Agra","Kids School, ICSE School, IB school, Play School, International School, Private School, CBSE School, School",,Meenakshi Bhakuni,"1994, Vasant Kunj, Delhi",,,4 crore,,011 2612 2723,"singh19@gmail.com, singh1988@yahoo.com, chakraborty16@gmail.com, er.gorreti@gmail.com, alwynfr@gmail.com, nath.bsc@yahoo.com, sridhar1982@gmail.com, manoj.bsc@hotmail.com, j1965@rediff.com, drrajiv@gmail.com, paulmachado@gmail.com, krishn.msc@yahoo.com, bhakuni14@yahoo.com, monicasarang@gmail.com, rama1989@gmail.com, raghusheela@hotmail.com, drshahan@gmail.com, saher12@gmail.com, sureshshri@gmail.com, vvarghese1983@gmail.com, jyothiraj.msc@gmail.com, sinha7@gmail.com, aggarwal14@gmail.com, surender.msc@gmail.com, rachna.phd@gmail.com, ramasheshaiah16@gmail.com, navneet4@gmail.com, siddappagowrav@gmail.com, soumen4@gmail.com, raghu.bsc@gmail.com, ruchidr@yahoo.com","bedre13@gmail.com, dr.shivajirao@gmail.com, momin.phd@gmail.com, principal.agrawal@gmail.com, dr.gangadhar@gmail.com, mohammad.phd@gmail.com, sharad3@gmail.com, tanajirao20@gmail.com, dr.manjiri@gmail.com, principal.ahmad@gmail.com","school@gdgoenka.com, apply@gdgoenka.com","info@gdgoenka.ac.in, info@gdgoenkamodeltown.com, joinhands@gdgoenka.com","info@gdgoenkamodeltown.com, gdgoenkalko@yahoo.com, admissions@gdgoenkakanpur.com","9871600060, 9871600051","9871600061, 9871600060","9871600062, 9871600061",+91-7037272727,,,
GD Goenka Public School,"India Bank, Bhagwan Mahaveer Rd, Opposite South, Pocket 8, Sector B, Vasant Kunj, New Delhi, Delhi 110070",http://www.gdgoenka.com/,,School,,Mr.Sonu Bharti,"1994, Vasant Kunj, Delhi",,,,,011 2612 2723,varghese3@yahoo.com,dr.harpinder@gmail.com,school@gdgoenka.com,info@gdgoenka.ac.in,info@gdgoenkamodeltown.com,9871600060,9871600061,9871600062,,,,
GD Matriculation Higher Secondary School,"2, Kadalakkara Ln, Gopalapuram, Coimbatore, Tamil Nadu 641018",http://www.gdschoolcbe.com/,Tamil Nadu,School,,Vimala Vijayan,,,,2 crore,,0422 230 0170,shankar2@hotmail.com,pro.raghunath@gmail.com,gdmatriculationschool@gmail.com,gdschoolcbe@yahoo.co.in,alumni@gdschoolcbe.com,9847071511,9677968181,,,,,
Gandhi Faiz-E-Aam College,"Cantt Area, Officers' Colony, Shahjahanpur, Uttar Pradesh 242001",http://www.gfcollege.in/,Shahjahanpur,"Kids School, Play School, Private School, IB school",,Dr. Jamil Ahmad,1947,,,,,05842 222 383,"hajela.bsc@gmail.com, aditi8@gmail.com, virendra.bsc@gmail.com, promini19@gmail.com","msc.rathi@gmail.com, sarikarathi@gmail.com, bhikhabhai9@gmail.com, kalpanarathod@gmail.com",gfcoff@gmail.com,naeemuddinsiddiqui@gmail.com,sanees86@rediffmail.com,+91-9453720111,919415070287,9236050735,"919310378303, 9371672118, 9225658577, 8872926888",,,
"Gandhi Institute for Technology (GIFT Engineering College), Bhubaneswar","At: Gramadiha, P.O.: Gangapada, Bhubaneswar, Odisha 752054",https://college.gift.edu.in/website/,Odisha,Private School,,Dr. Surya Narayan Patnaik,2007,,,1/2 crore,,078730 08142,rajiv11@rediff.com,chandrashekhar11@gmail.com,,,,7873008142,917873008173,917873008182,,,,
Garden High School,"318, Prantik Pally Rd, Rajdanga, Kasba, Kolkata, West Bengal 700107",http://gardenhighschool.in/,West Bengal,"School, Private School, ICSE School",,Rajashri Biswas,,,,"4 crore, 3 crore",,033 2441 3804,"dr.vandana@gmail.com, singh12@gmail.com, amos20@gmail.com","dr.gopi@gmail.com, rathod19@gmail.com, shirsath17@gmail.com",info@gardenhighschool.org,info@ghsiiser.org,,9133244141,9133244138,,"+91-8090055605, 9305859584",,,
Garodia International Centre for Learning Mumbai,"55, 90 Feet Rd, Garodia Nagar, Ghatkopar East, Mumbai, Maharashtra 400077",https://giclm.edu.in/visit,Maharashtra,International School,,Mr. Ian Davies,1969,,,1/2 crore,,081081 77377,lalhmingliana1977@rediff.com,principal.abhijeet@gmail.com,admission@giclm.edu.in,hr@giclm.edu.in,,8108177377,,,,,,
